"Player","pass_completion","KP","Min"
"Niclas F?llkrug","67.2","14","790"
"Semuel Pizzignacco","74.2","0","736"
"Nicola Leali","71.1","0","2610"
"Ryan Fraser","74.8","2","306"
"Elvis Rexhbe?aj","70","16","1785"
"D?sir? Dou?","82.3","55","1730"
"Keven Schlotterbeck","84.5","7","1297"
"Alex Iwobi","75.1","59","2981"
"Marcus Rashford","73.8","15","978"
"Christian Mawissa","87.5","1","1501"
"Sean Longstaff","84.5","4","798"
"Alban Lafont","69.8","2","1080"
"Andr? Ayew","76.1","8","1453"
"Exequiel Palacios","90.1","28","1155"
"James Garner","76.1","13","1594"
"Jens Odgaard","74.8","16","1952"
"Javi Hern?ndez","75.2","17","2389"
"Marco Bizot","69.1","0","2880"
"Valent?n Barco","82.9","8","1157"
"Amine Gouiri","78.2","8","1037"
"Moses Simon","62","56","2609"
"Enrico Del Prato","84","14","2947"
"Joe Willock","82.6","22","1086"
"Dani Rodr?guez","69.7","33","2162"
"?lex Mu?oz","79.7","7","1415"
"Alfonso Espino","74.3","5","833"
"Armando Broja","72.6","4","334"
"Antonio R?diger","91.8","7","2291"
"Allan Nyom","79.5","5","887"
"Rayan Cherki","78.5","75","2041"
"Phillip Tietz","62.4","22","1686"
"Unai G?mez","73.1","10","1284"
"Mitchell Weiser","73.9","42","2868"
"Jack Hinshelwood","83.2","17","1842"
"Adri? Pedrosa","74.1","20","2298"
"Giovanni Leoni","87.7","1","1199"
"Nikola Milenkovi?","82.3","9","3330"
"Andreas Skov Olsen","80.4","18","535"
"Michel Aebischer","87.4","8","724"
"Luca Kerber","73.7","6","783"
"Enzo Barrenechea","86.5","15","2191"
"??rir J?hann Helgason","64.6","22","1156"
"Ra?l","69","3","750"
"Marcos Llorente","85.5","28","2513"
"Viti","81","12","1982"
"Dario Essugo","85.4","13","1938"
"Dimitry Bertaud","71.9","0","360"
"M'Bala Nzola","75.2","20","1460"
"Kostas Tsimikas","84.1","16","837"
"Gabriel Osho","88.8","1","1654"
"Mathias Honsak","70.1","14","1181"
"Timo Werner","66.9","10","516"
"Henri Koudossou","78.8","10","748"
"Marius B?lter","67.2","22","1729"
"Mahamadou Diawara","82.8","7","582"
"Jesper Lindstr?m","69.4","19","1239"
"Johann Lepenant","80.3","8","2048"
"Pablo Fornals","80","36","1827"
"?ukasz Fabia?ski","67.1","0","1160"
"Jordy Makengo","79.1","2","745"
"Carlos Soler","85.2","18","1409"
"Denzel Dumfries","72.6","21","1865"
"Samuel Mbangula","85.5","15","709"
"Pierre H?jbjerg","92.4","43","2664"
"Mohammed Salisu","85.4","3","1023"
"Julian Araujo","79.1","1","497"
"Angelo Fulgini","78.1","28","1045"
"Bryan Gil","81.8","21","1721"
"Nicolas H?fler","86.4","3","794"
"Junior Messias","63.7","8","847"
"Jadon Sancho","82.6","38","1764"
"Anthony Gordon","73.3","51","2434"
"Antoine Mendy","81.1","2","825"
"F?lix Lemar?chal","79.4","29","1779"
"Alessandro Marcandalli","73.3","0","354"
"Anthony Losilla","76.6","7","1137"
"Ben Davies","87.6","2","1331"
"Pape Gueye","79.6","17","2224"
"Daniel Svensson","79.3","10","781"
"Neal Maupay","84.2","13","1042"
"Ibrahim Mbaye","86.5","3","340"
"Ger?nimo Rulli","87.9","2","3060"
"Martin Terrier","81.9","8","584"
"Niklas S?le","92.8","3","1053"
"Robin Le Normand","90.4","3","2151"
"Mohamed Abdelmoneim","90.4","0","855"
"Samuel Chukwueze","75.8","27","925"
"Clinton Mata","88.5","11","2370"
"Cher Ndour","81.1","1","406"
"Cameron Burgess","80.9","7","1541"
"Justin Njinmah","61.7","12","952"
"Amadou Haidara","80.2","5","1320"
"David L?pez","92.1","4","2429"
"Ademola Lookman","72.5","61","2247"
"Ibrahim Sangar?","85.4","4","590"
"Iv?n Villar","81.2","0","360"
"Dominik Javor?ek","70.6","4","386"
"Filippo Terracciano","87.9","2","539"
"Moritz Broschinski","63.4","13","1390"
"Ollie Watkins","72.4","24","2598"
"Oumar Solet","88.5","17","1672"
"Juan Herzog","86.4","0","1315"
"Alfred Duncan","81.1","11","957"
"Yann Sommer","87.6","0","2880"
"Pere Milla","58.8","5","456"
"Arnaud Kalimuendo","78.8","19","2578"
"Rodrigo De Paul","81.7","42","2106"
"Bobby De Cordova-Reid","70.4","6","744"
"Umut Tohumcu","82.7","3","375"
"Emanuel Emegha","80.3","18","2293"
"Bilal El Khannouss","75.1","42","2182"
"Ricardo Rodr?guez","82","7","1274"
"Abel Ruiz","87.9","8","1346"
"Ismaily","87.3","5","904"
"?lex Berenguer","65.8","46","2339"
"Emerson","86.2","15","1377"
"Christopher Operi","71.4","24","1169"
"Andr? Gomes","89.4","10","1276"
"Samuel Amo-Ameyaw","86.2","5","320"
"Ko Itakura","89","7","2790"
"Marcel Sabitzer","84.8","12","1616"
"Kristoffer Ajer","78.3","8","1438"
"Lucas H?ler","65.5","22","1867"
"Be?at Prados","82","11","1715"
"Lucas Digne","74.9","36","2351"
"?or?e Petrovi?","80.4","0","2790"
"Diego Moreira","77.5","30","2568"
"Mamadou Diakhon","77","13","858"
"Rocco Reitz","77.9","16","1830"
"Omar Marmoush","69.8","34","1448"
"Pierluigi Gollini","82.4","0","630"
"Ashley Young","70.9","26","1875"
"Moise Kean","69.9","19","2615"
"Billy Gilmour","88.5","21","1177"
"Marc-Andr? ter Stegen","92.8","0","674"
"Jean-Kevin Duverne","78.3","1","537"
"Almoatasem Al Musrati","87.6","5","386"
"Kieran Trippier","82.5","22","1309"
"Seydouba Ciss?","84.6","17","2435"
"Ilias Akhomach","73.5","9","584"
"Marcus Pedersen","72.9","7","1362"
"Enzo Fern?ndez","79.9","77","2947"
"Alfonso Pedraza","73.7","9","460"
"Iv?n Mart?n","90.2","22","2039"
"Moritz Jenz","84.3","3","1600"
"Arne Maier","76.5","25","938"
"Borna Sosa","79.6","11","1181"
"Ramon Hendriks","83.7","6","1154"
"Alexander S?rloth","63.8","13","1566"
"Emil Krafth","78.5","1","342"
"Pedro Pereira","80.7","14","2665"
"Valentin Rosier","79.3","11","2595"
"Jailson Siqueira","90.4","1","614"
"Noussair Mazraoui","85.7","20","2838"
"Lautaro Mart?nez","74.4","36","2474"
"Stefan Ortega","81.3","0","1100"
"Ainsley Maitland-Niles","85","27","1985"
"Hiroki Sekine","80.8","3","887"
"Hugo ?lvarez","78.9","17","1572"
"Valentin Mihaila","75.4","17","1288"
"Kiko Femen?a","88.9","16","2227"
"Esteban Lepaul","67.1","7","1629"
"Arda G?ler","86.1","40","1250"
"Kepa Arrizabalaga","73.2","1","2790"
"Lucas Bergvall","87.4","11","1212"
"Ivan Provedel","77.4","3","2610"
"Danel Sinani","71.4","24","1250"
"Jon Martin","86.8","4","904"
"Johan V?squez","84.7","7","3041"
"Alessio Iovine","75.2","3","387"
"Nordi Mukiele","80.4","9","899"
"Nicola Zalewski","73.2","10","533"
"Glen Kamara","90.3","5","662"
"Kristjan Asllani","89.2","15","980"
"Pierre Ekwah Elimby","88.2","16","2575"
"Ola Solbakken","70.9","9","760"
"Fernando Calero","85.3","3","715"
"Joseph Okumu","81.5","4","1695"
"Marcin Bu?ka","80.9","1","3060"
"Th?o Sainte-Luce","74.1","8","1018"
"James Justin","78.2","14","2912"
"Raphinha","71.1","91","2839"
"Enzo Loiodice","85.1","5","684"
"Patrick Dorgu","77.5","19","1840"
"Eliesse Ben Seghir","79.3","33","1750"
"Sammie Szmodics","74.1","5","992"
"Michael Svoboda","84.8","5","1314"
"?lvaro Tejero","72.4","33","1238"
"Thomas Meunier","80.4","13","1928"
"David Nemeth","86.4","3","2137"
"Tiago Tom?s","69.3","20","1884"
"Antoine Bernede","73.6","10","594"
"Ionu? Radu","57.7","0","1350"
"Lorenzo Montip?","48.7","0","3240"
"Pietro Pellegri","69.4","7","414"
"Leonardo Bittencourt","84","14","982"
"Kasey McAteer","72.6","9","852"
"Yeremi Pino","73.9","37","1934"
"Harry Wilson","73.3","20","1162"
"Jonathan Clauss","71.9","55","2303"
"Emil Holm","76.2","10","1137"
"Eybi Nije","66.3","4","394"
"Joaqu?n Correa","85.9","10","731"
"Abd?n Prats","66.7","3","456"
"Pablo Mar?","91.3","0","1098"
"Darko Lazovi?","62.4","18","1459"
"Vinicius J?nior","74.7","58","2253"
"Liam Delap","61.3","21","2593"
"Jordan Zemura","76.5","11","1415"
"Achraf Hakimi","88.7","50","2066"
"Wilfried Ndollo","79.5","1","401"
"Maxence Lacroix","81.7","8","3116"
"Mikayil Ngor Faye","88.6","1","688"
"Johannes Eggestein","73.9","24","1853"
"Fran Vieites","63.9","0","360"
"Alessandro Buongiorno","90.8","5","1924"
"Jorge de Frutos","68.3","31","2495"
"Paul Joly","68.7","16","1009"
"Timo Horn","56.9","1","1170"
"Iv?n S?nchez","71.4","24","1404"
"R?zvan Marin","76.1","34","1406"
"Caleb Okoli","86.3","0","1125"
"Zion Suzuki","67.4","0","3314"
"Jo?o Neves","91.2","33","1844"
"Jean-Eudes Aholou","84.3","10","1959"
"Vanderson","77.7","23","2064"
"Matthias Ginter","82.6","9","2561"
"Tanguy Coulibaly","78.5","18","1485"
"Pepe Reina","76.4","0","1034"
"Jota","72","5","334"
"Mario Pa?ali?","87.3","32","1967"
"Michael Olise","81.4","90","2334"
"Dominic Solanke","70.6","14","2201"
"Pablo Rosario","85","16","1775"
"Martin Valjent","85.9","4","2763"
"Edimilson Fernandes","85","8","1105"
"?mit Akdag","78.7","2","500"
"Morten Frendrup","85.4","14","3103"
"Sebastian Walukiewicz","81.1","4","1661"
"Hugo Larsson","86.9","21","2393"
"Jacob Ondrejka","74.8","7","422"
"Timon Weiner","68.8","0","2250"
"Joe Aribo","88.8","16","2013"
"James Hill","64.9","3","448"
"Nikola Krstovi?","66.4","30","3057"
"Jonas Hofmann","87.4","7","356"
"Valentin Gendrey","69.9","16","1414"
"Valentin Rongier","90.3","11","1562"
"Theo Bair","62","10","939"
"Portu","71.3","14","779"
"Jordan Ferri","88.3","13","1773"
"Georges Mikautadze","76.5","21","1449"
"Boulaye Dia","83.6","26","2177"
"Andrei Ratiu","81.6","36","3065"
"Pablo Barrios","86","26","2330"
"Zin?dine Ould Khaled","91.1","0","343"
"Mohammed Kudus","83.6","31","2590"
"Jan Sch?ppner","74.7","25","2681"
"Antonio Candela","74.2","9","1008"
"Alberto Grassi","74.6","7","2203"
"Daniel Parejo","87.5","23","2273"
"Luis Rioja","67.7","35","2831"
"Carlo Boukhalfa","71.3","11","1646"
"Yerry Mina","85.9","4","2569"
"Amath","76.8","6","375"
"Santiago Castro","76.8","28","2294"
"Nicol?s Gonz?lez","76","19","1750"
"Antonio Raillo","88.7","13","3207"
"Marash Kumbulla","84.5","1","2972"
"Matteo Darmian","83.8","15","1781"
"Carlos Mart?n","65.3","13","1333"
"Aaron Cresswell","82.6","9","824"
"Bart Verbruggen","76.9","1","3240"
"Ibrahim Salah","68.2","6","358"
"Adrien Thomasson","81.8","56","2615"
"Yassin Belkhdim","80.9","5","1523"
"Herv? Koffi","72.6","0","450"
"Issa Kabor?","78.9","7","308"
"Diogo Dalot","80.5","26","2814"
"Archie Gray","87.4","3","1751"
"Julian Chabot","89.9","6","2269"
"Gabriel Martinelli","71.4","40","2290"
"Andrej Kramari?","77.7","49","2767"
"Fabian Sch?r","83.7","5","2934"
"Milan ?uri?","49.2","5","1270"
"Caio Henrique Oliveira Silva","74.1","35","1929"
"Antoine Joujou","64.8","15","943"
"Victor Bernth Kristiansen","77.4","18","2482"
"Daniel Mosquera","68.7","12","1375"
"Jubal","86.8","6","2640"
"Amine Gouiri","80.9","26","1048"
"Johnny Cardoso","85.7","9","2144"
"Edon Zhegrova","76","16","978"
"Gianluca Mancini","86","14","3143"
"Leonardo Pavoletti","58.2","9","445"
"Mattias Svanberg","68.7","13","1219"
"Oliver Burke","59.9","14","908"
"Jamie Leweling","70.5","25","1663"
"Robin Zentner","62.9","3","2880"
"Rayan A?t-Nouri","84.2","46","3109"
"Alex Meret","85.9","0","3005"
"Timothy Castagne","81.8","9","1649"
"Justin Devenny","72.2","7","507"
"Arijanet Muric","71.7","0","1620"
"Yan Diomand?","83","14","545"
"Gideon Mensah","79.9","22","2280"
"Luiz L?cio Reis J?nior","73.1","0","1458"
"Sa?d Benrahma","72.1","14","735"
"Gabriel Strefezza","75.6","57","2619"
"Ga?tan Perrin","70.6","73","2691"
"Nelson Weiper","67.1","10","704"
"Romano Schmid","74.5","68","2834"
"Andoni Gorosabel","83.3","15","1485"
"?scar Rodr?guez Arnaiz","72.1","19","1330"
"Maghnes Akliouche","81.3","49","2406"
"Lassine Sinayoko","76.7","37","2299"
"Nathan Ak?","93.9","1","678"
"Ange-Yoan Bonny","75.2","30","2529"
"Magnus Kofod Andersen","79.9","9","695"
"Niklas Stark","85.6","1","2106"
"Anrie Chase","91.9","0","734"
"Remo Freuler","87.7","36","3204"
"Lee Kang-in","87.5","56","1663"
"Marcus Coco","79.5","10","951"
"Mathias Pereira Lage","62.9","22","1571"
"?lvaro Garc?a","64.6","50","2559"
"Benjamin Pavard","91.3","8","1584"
"Manuel Fuster","76.6","28","1003"
"Yaya Kader Fofana","76.3","7","634"
"Dango Ouattara","60","35","2005"
"Takuma Asano","67.6","6","1054"
"M?rgim Vojvoda","83.6","11","1105"
"Eduardo Camavinga","88.3","11","1102"
"Hamza Rafia","77.6","16","1058"
"Oleksandr Zinchenko","84.7","3","527"
"Giovanni Fabbian","71.9","9","1023"
"Brais M?ndez","77.9","23","1531"
"Ander Barrenetxea","70.9","16","1263"
"Ross Stewart","70.5","0","389"
"Sergi Guardiola","66.7","5","362"
"Alberto Dossena","87.6","5","1825"
"Amar Dedi?","84.4","4","314"
"Danilho Doekhi","78.3","13","3060"
"Ousmane Demb?l?","79","63","1730"
"Emerson Palmieri","79.9","16","2113"
"Steve Mouni?","62.7","1","347"
"Jo?o Palhinha","92.4","4","673"
"Florent Hanin","77.5","25","2672"
"Manu Kon?","91.1","19","2572"
"Amos Pieper","84.8","4","1498"
"Joseph Aidoo","89.2","0","583"
"Birama Tour?","82.1","3","300"
"Nathan Tella","74.6","18","1359"
"Teun Koopmeiners","79.9","38","1994"
"Medon Berisha","78","11","716"
"Leroy San?","82.5","36","1637"
"Aur?lio Buta","82.6","10","1970"
"Juanmi Latasa","59.2","13","1398"
"Arouna Sangante","87.1","3","1244"
"Marshall Munetsi","68.5","19","1692"
"Lennard Maloney","71.6","1","760"
"Lassana Coulibaly","81.2","12","2667"
"Luca Netz","81.1","16","969"
"Aar?n Mart?n","72.5","65","3085"
"Junior Adamu","63.5","17","1545"
"Drissa Camara","73.1","5","447"
"Marco Friedl","90.2","3","2161"
"Hernani","75.3","25","1327"
"Diego Conde","81.1","2","1962"
"Karol Mets","83.4","3","900"
"Alessio Romagnoli","91.8","9","2672"
"Charalambos Lykogiannis","71.4","19","1048"
"Aimar Oroz","81.9","41","2966"
"Abdoulaye Doucour?","80.3","28","2564"
"Mathieu Gorgelin","77.8","0","1440"
"Joshua Kimmich","89.5","83","2847"
"Frank Onyeka","83.6","17","2586"
"Yuri Berchiche","84","18","2044"
"Hamzat Ojediran","79.9","2","416"
"Pau Victor","81","8","319"
"Giorgio Altare","72.8","1","753"
"Jota Silva","60.2","14","854"
"John McGinn","81.9","31","2223"
"Nicolas Seiwald","82.7","20","2084"
"Yehvann Diouf","69.6","0","3060"
"Ante Budimir","56.1","16","2952"
"Deiver Machado","83.6","20","1805"
"Gianluca Caprari","79.1","30","1651"
"Lutsharel Geertruida","86.7","10","1557"
"Andrea Belotti","75","7","593"
"Gabriel Magalh?es","90.2","13","2363"
"Anton Stach","82.6","26","2585"
"Niccol? Pisilli","83.5","10","1227"
"Son Heung-min","78.9","50","2110"
"Nahuel Molina","79.9","13","1590"
"Julian Weigl","88.3","11","2881"
"Destiny Udogie","87.2","16","1924"
"Jacob Murphy","68.5","42","2360"
"Giorgos Kyriakopoulos","74.8","41","2845"
"Ivan Ili?","83.4","9","920"
"Lucien Agoume","81.5","27","2114"
"Rodrygo","85.9","49","1928"
"Pedro Neto","78.4","46","2269"
"Conor Coady","91.1","1","1714"
"Chuky san jose","68.7","8","728"
"Albert Sambi Lokonga","89.4","19","1471"
"Adrien Truffert","78.9","39","2752"
"Ngal'Ayel Mukau","89.1","12","1190"
"Philipp K?hn","75.8","0","1710"
"Mois?s Caicedo","89.7","30","3351"
"Declan Rice","83.4","59","2825"
"Frenkie de Jong","94.4","21","1143"
"Adam Wharton","75.6","26","1318"
"Jonas F?hrenbach","72.5","14","1832"
"Toni Mart?nez","58.3","11","1012"
"Myles Lewis-Skelly","91.2","8","1369"
"Marco Komenda","78.8","9","1307"
"Willian Pacho","94.8","3","2132"
"Nabil Bentaleb","86.1","1","329"
"?lex Valle","85","11","1030"
"Eric Dier","93.8","3","1463"
"Bryan Mbeumo","66.1","70","3414"
"Guillaume Restes","72.4","1","2543"
"Alessio Zerbin","65.4","24","1518"
"Luca Caldirola","90.4","2","876"
"Hwang Hee-chan","81.4","3","661"
"Rafael Tol?i","87.7","3","468"
"Andrew Robertson","82.7","40","2482"
"Danny da Costa","78.4","10","2006"
"Mark Travers","70.4","0","450"
"Niels Nkounkou","68.9","9","382"
"Maxim Leitsch","78.1","2","674"
"Gustav Isaksen","76.6","35","2210"
"Maximilian Beier","70.5","24","1591"
"Yahia Fofana","68.7","1","2970"
"Sam Morsy","86.4","24","2751"
"Cole Palmer","77","87","3191"
"Pawe? Dawidowicz","81.9","0","1845"
"Oliver McBurnie","65.9","24","1837"
"Alen Sherri","72.4","1","621"
"Ibrahima Niane","68.4","9","943"
"Pol Lirola","83.1","8","680"
"Thilo Kehrer","89.9","5","2383"
"Joelinton","82.7","23","2393"
"Joshua King","70.7","17","1673"
"Nico Williams","70.5","40","1996"
"Tim Oermann","82.4","7","2213"
"Jaime Mata","67.9","3","656"
"Steve Mandanda","70.7","2","1486"
"Malick Thiaw","93.1","4","1806"
"Tom Louchet","81.7","14","775"
"Jo?l Schingtienne","86.2","3","1122"
"Zakaria Aboukhlal","63.3","12","1901"
"Ferdi Kadioglu","82.3","5","385"
"Lisandro Mart?nez","89.4","9","1751"
"Nicol? Savona","89.5","16","1724"
"Alex Scott","83.6","12","755"
"Sergio Herrera","69.9","0","3330"
"Alexis Claude-Maurice","82.9","21","2109"
"Jean Onana","80.6","2","304"
"Tommaso Baldanzi","84","10","832"
"Wahbi Khazri","68","18","1118"
"Paulo Gazzaniga","80","0","3195"
"Andre-Frank Zambo Anguissa","84.5","26","2852"
"Jean-Charles Castelletto","88.6","2","2620"
"Senne Lynen","82.9","8","2733"
"Amadou Kon?","86","8","1293"
"Robert S?nchez","69.7","2","2880"
"Amir Richardson","87.6","8","1024"
"Path? Ciss","84.7","16","2140"
"Tino Kadewere","75.1","8","512"
"Augusto Batalla","66.6","1","2880"
"Diogo Leite","78.6","13","2546"
"Che Adams","74.3","26","2652"
"Omar Alderete","65.5","11","2971"
"Sa?l Coco","88.3","1","2845"
"Mo?se Bombito","90.2","2","2192"
"Samu Costa","80.7","15","2649"
"Takumi Minamino","70.7","40","2231"
"Adam D?wiga?a","81.6","0","373"
"Adam Maru?i?","84.9","13","2337"
"Nikola Maksimovi?","92.9","2","581"
"Mateo Kova?i?","92.6","33","2198"
"Thiago Almada","84.9","22","951"
"Christopher Wooh","87.1","2","1456"
"Milan Badelj","81.5","12","1472"
"Cristian Romero","89.5","7","1416"
"Kiliann Sildillia","73.2","7","801"
"Marc Domenech","69.4","5","303"
"Miguel","58.6","7","1724"
"L?o P?trot","80.4","16","2634"
"Bernd Leno","81.8","2","3420"
"Andrea Carboni","85.5","4","2191"
"David Soria","49.9","0","3420"
"Alexandre Lacazette","71.8","26","2051"
"Artem Dovbyk","74.1","25","2418"
"Serhou Guirassy","72.7","25","2598"
"Jeong Woo-yeong","75.3","18","1263"
"Jordan Teze","79.1","13","569"
"Alexander N?bel","77","3","3060"
"Emmanuel Biumla","88.2","1","1336"
"Maximilian Mittelst?dt","83.4","47","2469"
"Budu Zivzivadze","69.3","12","958"
"Simon Sohm","85.2","20","2989"
"Adam Armstrong","80.2","9","1248"
"Sinaly Diomande","84.6","4","1945"
"Keane Lewis-Potter","77.1","26","3093"
"Obite N'Dicka","92.1","8","3420"
"Isma?l Doukour?","88.7","11","2639"
"Jorge Cuenca","83.8","0","351"
"Gabriel Suazo","79.6","40","2163"
"Ronald Ara?jo","91.9","4","754"
"Arvid Brorsson","90.7","0","362"
"Jacques Ekomie","70.4","0","697"
"Manuel Ugarte Ribeiro","87.9","10","1785"
"Jordan Pickford","66.3","2","3420"
"Stefano Sabelli","68.5","18","2058"
"Matheus Cunha","71.6","56","2597"
"Lamare Bogarde","88.2","2","476"
"Carles P?rez","67.3","17","1431"
"Lameck Banda","77.2","11","610"
"Alex Baena","66.6","95","2595"
"Rub?n Garc?a","74.3","49","2413"
"Toni Lato","75.2","6","621"
"Willi Orban","87.4","8","2222"
"Adam Aznou","71.4","6","876"
"Christian Walton","69.4","1","630"
"Finn Jeltsch","91.1","2","780"
"David Costa","82.6","6","352"
"Alexis Saelemaekers","81.5","24","1389"
"Robin Koch","90.7","7","2586"
"Sergio G?mez","74.8","56","2738"
"Jon Rowe","80.1","18","807"
"Oussama Targhalline","79.6","6","990"
"Elseid Hysaj","81.1","6","424"
"Massadio Ha?dara","78.6","8","1678"
"Manu S?nchez","72.2","16","2634"
"Harvey Elliott","82.2","10","371"
"Gerard Gumbau","75.5","17","849"
"Jesus Rodr?guez","72.8","8","1111"
"Timothee Pembele","81.5","3","1113"
"Antoine Semenyo","73.4","46","3203"
"Mikel Jauregizar","80.6","23","2244"
"Julian Ryerson","85.3","36","2259"
"Botond Balogh","89.3","2","2053"
"Carlens Arcus","79.4","17","2047"
"Vitinha","59.3","16","1328"
"Yoann Salmier","81.8","2","797"
"Anthony Elanga","65.3","50","2501"
"Karl Jakob Hein","73.4","0","2790"
"Iker Losada","75.4","6","336"
"Jules Kound?","86.7","32","2605"
"Benedikt Gimber","82.5","3","2671"
"Noah Atubolu","74.5","0","2307"
"Sofiane Diop","77.2","24","1064"
"Gift Orban","70.8","2","687"
"Beto","58.2","12","1534"
"Dami?n Rodr?guez","89.2","17","927"
"Lewis Cook","77.2","48","2978"
"Hicham Boudaoui","83.2","22","2435"
"Philipp Sander","80.9","13","1400"
"Stanislav Lobotka","90.8","17","2636"
"Matteo Politano","69.2","56","2804"
"Benjam?n Dom?nguez","78.2","10","1281"
"Andr? Ferreira","70.8","0","540"
"Eric Smith","80.8","28","2827"
"Xavi Simons","78.6","51","2150"
"Gabriel Jesus","76.8","8","608"
"Edson ?lvarez","85.8","12","1772"
"Jes?s Owono","60.7","0","487"
"Pierre Kalulu","93.1","11","2337"
"Fali Cand?","81","4","1530"
"Ricardo Pereira","83.5","0","388"
"Fabiano Parisi","80.5","4","1049"
"Mahdi Camara","85.8","26","2659"
"Reinildo Mandava","84.2","2","941"
"Harry Kane","78.9","35","2381"
"C?dric Bakambu","66.7","8","710"
"Abderrahman Rebbach","62.7","6","385"
"Fod? Ballo-Tour?","83.3","1","589"
"Marco Brescianini","79.5","7","991"
"Jack Grealish","87.6","24","721"
"Juan Foyth","87","7","1517"
"Scott McTominay","84.1","26","2938"
"David Neres","75.7","26","1283"
"Gio Reyna","78.8","2","350"
"J?der Dur?n","70.6","4","638"
"Mama Samba Bald?","72.3","16","1149"
"Fares Cha?bi","65.8","24","1013"
"Isaac Romero","70.3","20","2156"
"Nicolai Remberg","77.9","9","2417"
"Jhon Lucum?","91.1","8","2614"
"Umar Sadiq","72.3","6","825"
"Valent?n Castellanos","67.7","26","2384"
"Djaoui Ciss?","87.5","6","1121"
"Ruslan Malinovskyi","81.6","8","383"
"Alidu Seidu","82.2","5","803"
"Kingsley Ehizibue","76.7","22","2498"
"Antonio Sivera","53.9","1","2810"
"Lewis Holtby","76.5","21","1238"
"David Torres","82.5","1","1387"
"Lucas Mincarelli","81.5","3","715"
"Jordan Pefok","69.1","14","908"
"Ezequiel ?vila","69.7","15","677"
"Weston McKennie","83.1","32","2310"
"Roberto Piccoli","66.3","13","3127"
"Mikkel Damsgaard","72.4","63","2911"
"Emiliano Mart?nez","78.7","2","3194"
"Phil Foden","84.1","43","1777"
"Urko Gonz?lez","77.5","10","1374"
"Youssouf Sabaly","86.7","11","1581"
"Frederic Guilbert","76.8","19","2435"
"Jonathan Burkardt","72.5","20","2109"
"Ethan Pinnock","85.6","8","1913"
"Fabio Chiarodia","84","1","379"
"Jacob Bruun Larsen","70.6","11","414"
"Benito Ram?rez","79.4","13","478"
"Aster Vranckx","82.2","1","556"
"Felix Passlack","66.2","25","2334"
"Yassine Kechta","79.2","15","2096"
"I?aki Williams","63.3","43","2652"
"Luca Pellegrini","75.5","20","1067"
"Saidou Sow","90.7","2","1018"
"Dany Mota","72.4","22","2104"
"Joakim M?hle","80.9","20","2188"
"Adri? Altimira","78.5","11","1630"
"Lewis Hall","81.7","34","2189"
"Luis P?rez","75.7","27","2558"
"Renato Tapia","78.3","8","2424"
"Diego Carlos","88.6","0","830"
"Keito Nakamura","74.2","26","2649"
"Nicol? Barella","82.1","55","2456"
"Max Kilman","86.7","16","3348"
"Lewis Dunk","91","6","2083"
"Abner","84.1","11","1090"
"Jacopo Fazzini","71.6","12","1383"
"Alessandro Circati","86","1","540"
"Darwin N??ez","70.9","11","1133"
"Luis Milla","73.5","70","2875"
"Mat?as Vecino","81.1","11","877"
"Derek Cornelius","93.4","4","1420"
"Abdukodir Khusanov","91.1","2","503"
"Bertu? Y?ld?r?m","54.3","9","1083"
"Maximilian Bauer","80.9","2","658"
"Kevin St?ger","75.8","54","1551"
"Lautaro Valenti","84.5","4","1556"
"Antonio Blanco","79.3","15","2727"
"H?ctor Beller?n","82.3","8","580"
"Boubakar Kouyat?","83.4","0","756"
"Mahmoud Dahoud","84.9","8","364"
"Anthony Rouault","91.6","1","972"
"Jamie Gittens","76.5","21","1776"
"Emil Audero","82.6","0","720"
"Robert Andrich","88.4","9","1598"
"Sergi Roberto","90.3","15","696"
"Brenner","76.3","5","386"
"Mateo Pellegrino","54.3","5","737"
"Ryan Manning","77.1","34","1462"
"Patrick Mainka","85.4","7","3060"
"Virgil van Dijk","91.6","12","3330"
"Liberato Cacace","67.9","25","2230"
"Michael Amir Murillo","87.5","24","2437"
"George Hirst","56.6","4","661"
"L?o Scienza","66.3","34","1153"
"Valery Fern?ndez","88.9","1","309"
"Konrad Laimer","87.8","20","1699"
"Hong Hyunseok","77.9","9","530"
"Matvei Safonov","80.4","0","879"
"Justin Kluivert","74.4","45","2340"
"Ylber Ramadani","82.1","16","1807"
"Frank Magri","70.9","9","1516"
"Morato","77","0","907"
"Baptiste Santamaria","82.5","4","482"
"Ibrahima Konat?","90.2","10","2560"
"Kike Barja","64.9","10","315"
"Nikola Moro","80.2","20","1208"
"Ryan Sessegnon","78.4","12","580"
"Jeremie Frimpong","76.1","30","2314"
"Mario Gila","91.6","15","2741"
"Jhon Solis","89.5","2","535"
"Tam?s Nikitscher","91.3","2","858"
"Michael Gregoritsch","63.3","5","639"
"Dylan Batubinsika","91.4","4","2016"
"Ellyes Skhiri","88.5","22","2231"
"Omar El Hilali","78.9","8","3153"
"Donyell Malen","71.6","1","614"
"Abakar Sylla","88.6","1","950"
"Albert Gr?nbaek","62.8","19","813"
"Joshua Zirkzee","71.2","12","1402"
"Amine Salama","75.6","5","373"
"Matija Nastasi?","82.6","2","2110"
"Sepp van den Berg","85.4","6","2586"
"Christopher Nkunku","89.5","14","921"
"Andr?s Sch?fer","73.5","10","1534"
"Dayot Upamecano","93.9","7","1759"
"Yunis Abdelhamid","86.7","2","1033"
"Christian Kouam?","69.5","9","622"
