"Player","pass_completion","KP","Min"
"Antonio Nusa","74.2","20","1558"
"Dwight McNeil","74.5","37","1371"
"Arnaut Danjuma","72.6","22","1335"
"Ayyoub Bouaddi","87.7","5","1151"
"Nikola Vasilj","73.6","1","2969"
"Kamaldeen Sulemana","79.8","10","1402"
"Ander Guevara","76.6","12","1947"
"Khalil Fayad","82.9","7","1028"
"Matt Doherty","82.8","12","2109"
"Balthazar Pierret","83.6","10","1723"
"Alberto Moreno","82.5","19","1727"
"William Carvalho","86.8","6","484"
"Raheem Sterling","78.6","8","499"
"Sergi Cardona","77.3","45","2945"
"Luke Woolfenden","88.3","0","1187"
"El Chadaille Bitshiabu","84.4","5","1130"
"Mads Hermansen","61","0","2385"
"Wout Faes","88","4","2815"
"Mats Hummels","89","2","915"
"Dani Carvajal","86.2","5","609"
"Jamie Vardy","66.3","19","2823"
"Abdoulaye Tour?","82","7","2324"
"Albert Gu?mundsson","83","15","1273"
"Rasmus Nicolaisen","88.1","2","623"
"Dante","88.5","4","1964"
"Andrea Colpani","80.7","17","1432"
"Unai L?pez","84.2","19","1707"
"Niklas Dorsch","83.4","13","1335"
"H?ctor Fort","90.1","10","585"
"Rayan Raveloson","86.6","3","724"
"Mathis Amougou","77.1","7","859"
"Manuel Akanji","93.6","9","2014"
"Jeff Ekhator","66.7","11","769"
"Lucas Oliveira Rosa","76.5","13","1890"
"Jonas Omlin","73.1","0","978"
"Daler Kuzyaev","81.2","2","567"
"Adam Lallana","85","4","361"
"Domingos Duarte","78.5","2","1859"
"Djibril Sidib?","79.7","18","2101"
"Adama Boiro","79.9","5","1101"
"Saidou Sow","83.2","2","799"
"Erling Haaland","66.9","29","2736"
"Lucas Tousart","66.7","3","561"
"Andrej Ilic","57.6","6","937"
"Josip Stani?i?","91.6","14","876"
"Miguel Guti?rrez","82.6","41","2458"
"Bamo Me?t?","88.4","0","424"
"Nicol?s Valentini","67.5","6","1129"
"Ra?l Moro","64.9","44","2341"
"Lazar Samardzic","77.9","35","1169"
"Jonathan Ikone","81","2","540"
"Lucas Stassin","74","18","1887"
"Duje ?aleta-Car","91","2","1584"
"Marius Wolf","68.5","45","2144"
"Alisson","82.8","1","2508"
